"Refresh","Refresh"
"The requested Wish List does not exist.","The requested Wish List does not exist."
"Page not found.","Page not found."
"A product %s can not be specified.","A product %s can not be specified."
"All products were merged into the wishlist.","All products were merged into the wishlist."
"Guest","Guest"
"Copy Link for Sharing","Copy Link for Sharing"
"Already on the wishlist","Already on the wishlist"
"Add to Wish List","Add to Wish List"
"Merge into my wishlist","Merge into my wishlist"
"The link was successfully copied to your clipboard.","The link was successfully copied to your clipboard."
